"","slowo","wartosc"
"61","œwiat",0.010977754103268
"62","mistrzostwo",0.00708516019325578
"63","mecz",0.0067312880196183
"64","pierwszy",0.00661333062840581
"65","polska",0.00602354367234335
"66","zawodnik",0.00602354367234335
"67","zespó³",0.00578762888991837
"68","dobry",0.00543375671628089
"69","miejsce",0.00543375671628089
"70","polski",0.00472601236900594
"71","impreza",0.00460805497779345
"72","raz",0.00449009758658096
"73","zostaæ",0.00425418280415598
"74","szczepionka",0.00425418280415598
"75","reprezentacja",0.00413622541294348
"76","ostatni",0.0039003106305185
"77","wygraæ",0.00378235323930601
"78","sezon",0.00366439584809352
"79","drugi",0.00354643845688102
"80","fina³",0.00354643845688102
