"","slowo","wartosc"
"1","proca",0.0166022029508985
"2","duda",0.00842821079078522
"3","prezydent",0.00632632709247037
"4","rz¹d",0.00585924182617818
"5","szyd³o",0.0049250712935938
"6","pis",0.0049250712935938
"7","partia",0.00469152866044771
"8","premier",0.00469152866044771
"9","minister",0.00422444339415552
"10","badaæ",0.00399090076100943
"11","wyborczy",0.00399090076100943
"12","pañstwo",0.00399090076100943
"13","ufaæ",0.00375735812786333
"14","pks",0.00375735812786333
"15","sprawa",0.00352381549471724
"16","wybór",0.00352381549471724
"17","miejsce",0.00329027286157115
"18","badanie",0.00329027286157115
"19","sonda¿",0.00329027286157115
"20","referendum",0.00329027286157115
