uuid_h2	BULWAROWY	title
4573939495	1	Niechciany gość na selfie Lewandowskich!
3235743780	0	Kuba straci opaskę kapitana
5552496743	0	Miley Cyrus zaśpiewa do filmu z Ellen Page
2151057636	1	Miley Cyrus zupełnie naga. Kiedy pokaże się w ubraniu?
4926457943	1	Pojedynek na biusty. Nie dajcie się nabrać
3533059477	0	Marc Jacobs zarabia na instagramowej wpadce
3690854596	1	Gołe pupy facetów świeciły w...
2716461530	0	Jak mogę powiększyć penisa?. Tego najczęściej szukamy w Google
3219069790	1	Pękły jej implanty w pośladkach. Walczy o życie
2916652892	0	Cionek podlizuje się Polakom
2998098347	0	Największa szopka krakowska będzie pokazywana w katedrze Notre-Dame
3628914389	1	Nawet u dentysty musi odstawić szopkę. Poznajecie ją?
5880741933	0	Jerzy Dudek dla Faktu: Ustawiania spotkań do końca nie da się zwalczyć
5014085333	1	Szpilka o Tygrysie: To Goebbels! A Tygrys na to
5372440399	0	Książę Walii prowadzi reprezentację w nieznane
5884772870	0	Unikatowe zdjęcia odnalezione po latach
3046712038	1	Książę Karol jest bezczelny! Gapi się w biusty!
3797755979	1	Ogórek na wakacjach. To zdjęcie robi wrażenie
5642289691	0	Bojownicy ISIS wśród uchodźców? To zdjęcie obiegło internet. Okazuje się, że jest fałszywe
3500354038	1	Szok! Żużlowcy wyzywali się i pobili na torze!
