"1890027476.txt.bas" "1890101851.txt.bas" "1890103988.txt.bas" "1890156207.txt.bas" "1890395099.txt.bas" "1890462881.txt.bas" "1890652893.txt.bas" "1890682620.txt.bas" "1890703572.txt.bas" "1891086726.txt.bas" "1891101914.txt.bas" "1891106392.txt.bas" "1891112222.txt.bas" "1891171357.txt.bas" "1891257311.txt.bas" "1891546053.txt.bas" "1891620868.txt.bas" "1891915961.txt.bas" "1891923077.txt.bas" "1892025866.txt.bas" "1892245955.txt.bas" "1892340434.txt.bas" "1892534714.txt.bas" "1892589293.txt.bas" "1892725699.txt.bas" "1892789605.txt.bas" "1892909234.txt.bas" "1892958992.txt.bas" "1893050500.txt.bas" "1893116438.txt.bas" "1893147744.txt.bas" "1893276944.txt.bas" "1893361877.txt.bas" "1893541260.txt.bas" "1893646907.txt.bas" "1893697858.txt.bas" "1893746839.txt.bas" "1893755147.txt.bas" "1893756693.txt.bas" "1893791140.txt.bas" "1893892415.txt.bas" "1894017728.txt.bas" "1894126537.txt.bas" "1894127376.txt.bas" "1894496974.txt.bas" "1894509832.txt.bas" "1894640791.txt.bas" "1895081988.txt.bas" "1895114844.txt.bas" "1895126174.txt.bas" "1895305901.txt.bas" "1895346435.txt.bas" "1895683451.txt.bas" "1895703314.txt.bas" "1895731122.txt.bas" "1895984143.txt.bas" "1895984584.txt.bas" "1896000767.txt.bas" "1896102464.txt.bas" "1896239259.txt.bas" "1896256269.txt.bas" "1896300123.txt.bas" "1896350157.txt.bas" "1896405571.txt.bas" "1896426796.txt.bas" "1896457303.txt.bas" "1896520587.txt.bas" "1896525011.txt.bas" "1896636135.txt.bas" "1896675029.txt.bas" "1896710580.txt.bas" "1896715283.txt.bas" "1896767304.txt.bas" "1896883749.txt.bas" "1896888312.txt.bas" "1896967598.txt.bas" "1896984208.txt.bas" "1897015613.txt.bas" "1897116619.txt.bas" "1897156573.txt.bas" "1897179403.txt.bas" "1897194594.txt.bas" "1897306750.txt.bas" "1897386989.txt.bas" "1897548558.txt.bas" "1897683288.txt.bas" "1897898580.txt.bas" "1897933878.txt.bas" "1897998009.txt.bas" "1898118344.txt.bas" "1898203174.txt.bas" "1898494588.txt.bas" "1898506029.txt.bas" "1898527070.txt.bas" "1898555587.txt.bas" "1898597998.txt.bas" "1898603214.txt.bas" "1898628060.txt.bas" "1898655705.txt.bas" "1898707472.txt.bas" "1898719061.txt.bas" "1898752765.txt.bas" "1898844520.txt.bas" "1899053266.txt.bas" "1899268603.txt.bas" "1899588712.txt.bas" "1899739352.txt.bas" "1899817020.txt.bas"
"w" 3.40659340659341 4.54545454545455 5.13595166163142 1.08695652173913 2.84697508896797 6.66666666666667 3.6144578313253 1.72413793103448 2.41545893719807 3.2520325203252 4.11985018726592 3.52422907488987 5.72687224669604 4.69798657718121 6.40495867768595 1.87793427230047 6.66666666666667 4.14746543778802 2.86885245901639 3.125 7.92079207920792 3.54477611940298 6.2015503875969 3.74331550802139 7.4468085106383 3.77358490566038 5.88235294117647 3.67647058823529 1.40845070422535 3.06122448979592 2.63157894736842 3.64963503649635 6.37254901960784 0.757575757575758 7.65432098765432 3.6697247706422 4 7.80141843971631 4.34782608695652 5.70962479608483 3.75 1.49253731343284 4.09638554216868 2.6530612244898 3.6036036036036 4.01785714285714 4.38799076212471 2.52100840336134 4.52261306532663 5.31914893617021 3.00187617260788 2.45901639344262 1.33928571428571 6.77966101694915 5.3475935828877 0 2.63157894736842 4.69483568075117 3.17460317460317 4.59459459459459 3.16455696202532 3.66197183098592 7.11974110032362 2.18978102189781 1.2987012987013 8.82352941176471 6.06060606060606 3.20754716981132 9.09090909090909 0 3.03030303030303 2.8169014084507 2.1978021978022 2.29007633587786 2.60869565217391 4.8 4.95049504950495 2.22222222222222 0.75187969924812 3.71428571428571 7.61904761904762 1.3953488372093 4.65116279069767 5.71428571428571 1.77664974619289 2.76243093922652 7.75193798449612 0 5.84795321637427 3.73711340206186 3.89294403892944 2.06185567010309 5.07246376811594 5.41871921182266 6.91823899371069 6.2111801242236 2.18978102189781 3.1055900621118 8.25688073394495 2.85714285714286 2.5 1.19047619047619 3.20512820512821 2.7027027027027 6.15942028985507 0.909090909090909 6.03448275862069 3.42555994729908
"byæ" 1.53846153846154 1.51515151515152 4.53172205438066 2.17391304347826 2.84697508896797 1.9047619047619 1.80722891566265 1.72413793103448 1.93236714975845 1.6260162601626 1.12359550561798 3.52422907488987 2.20264317180617 3.69127516778523 1.03305785123967 0.469483568075117 3.33333333333333 2.76497695852535 2.86885245901639 1.5625 0.99009900990099 1.11940298507463 1.16279069767442 1.06951871657754 2.12765957446809 0.471698113207547 2.52100840336134 2.94117647058824 0.938967136150235 2.04081632653061 3.00751879699248 2.91970802919708 1.47058823529412 2.27272727272727 0.987654320987654 1.28440366972477 1.14285714285714 0 2.60869565217391 2.28384991843393 0 2.98507462686567 2.40963855421687 3.06122448979592 1.2012012012012 1.5625 8.54503464203233 0.840336134453782 3.51758793969849 2.65957446808511 4.22138836772983 1.63934426229508 2.67857142857143 1.9774011299435 1.60427807486631 0 2.63157894736842 0.938967136150235 3.57142857142857 2.02702702702703 1.89873417721519 1.40845070422535 2.9126213592233 3.64963503649635 3.8961038961039 0 2.42424242424242 2.45283018867925 0 0 1.51515151515152 4.22535211267606 1.46520146520147 3.05343511450382 0.869565217391304 0.8 1.32013201320132 4.44444444444444 1.50375939849624 2.28571428571429 0.952380952380952 2.32558139534884 1.55038759689922 0.952380952380952 3.80710659898477 4.97237569060773 1.55038759689922 2.89855072463768 1.75438596491228 3.8659793814433 1.21654501216545 4.63917525773196 1.44927536231884 4.43349753694581 1.88679245283019 1.86335403726708 2.91970802919708 5.46583850931677 0.917431192660551 5 1.25 4.76190476190476 1.28205128205128 0 1.6304347826087 1.81818181818182 3.44827586206897 1.97628458498024
"z" 1.42857142857143 3.03030303030303 2.11480362537764 2.17391304347826 2.84697508896797 0.952380952380952 4.21686746987952 1.72413793103448 2.41545893719807 0.813008130081301 3.37078651685393 3.9647577092511 1.76211453744493 1.34228187919463 2.47933884297521 3.28638497652582 0 4.14746543778802 3.68852459016393 0 0.99009900990099 1.67910447761194 1.16279069767442 2.13903743315508 4.25531914893617 1.41509433962264 2.10084033613445 3.67647058823529 2.34741784037559 1.53061224489796 1.50375939849624 1.45985401459854 1.96078431372549 6.81818181818182 0.740740740740741 2.01834862385321 1.14285714285714 1.41843971631206 0 3.09951060358891 2.5 5.97014925373134 2.65060240963855 2.04081632653061 1.2012012012012 2.67857142857143 1.38568129330254 2.52100840336134 4.02010050251256 2.12765957446809 1.59474671669794 0 2.23214285714286 0.847457627118644 0.53475935828877 2.38095238095238 0.87719298245614 2.34741784037559 0.793650793650794 2.16216216216216 3.16455696202532 2.25352112676056 2.9126213592233 1.45985401459854 5.19480519480519 5.88235294117647 1.51515151515152 2.45283018867925 0.909090909090909 0 0 1.40845070422535 1.46520146520147 1.52671755725191 3.47826086956522 0.8 2.31023102310231 0 0.75187969924812 1.42857142857143 1.9047619047619 1.86046511627907 1.55038759689922 1.9047619047619 3.55329949238579 2.76243093922652 1.55038759689922 5.79710144927536 7.60233918128655 2.57731958762887 0.97323600973236 2.57731958762887 2.17391304347826 1.47783251231527 0.628930817610063 2.48447204968944 7.2992700729927 0.496894409937888 0.917431192660551 2.14285714285714 2.5 1.78571428571429 2.56410256410256 1.8018018018018 2.98913043478261 4.54545454545455 1.72413793103448 2.37154150197628
"i" 3.95604395604396 1.51515151515152 1.51057401812689 4.34782608695652 2.49110320284698 3.80952380952381 1.20481927710843 3.44827586206897 2.41545893719807 2.4390243902439 0.749063670411985 1.98237885462555 1.3215859030837 2.3489932885906 1.2396694214876 2.34741784037559 1.66666666666667 0.921658986175115 0.819672131147541 3.125 0.99009900990099 1.67910447761194 2.71317829457364 3.74331550802139 3.19148936170213 2.35849056603774 1.26050420168067 2.94117647058824 1.40845070422535 2.04081632653061 1.8796992481203 1.45985401459854 0.980392156862745 0 1.72839506172839 3.30275229357798 1.71428571428571 2.83687943262411 4.34782608695652 1.95758564437194 2.5 0 2.16867469879518 1.22448979591837 2.7027027027027 2.00892857142857 1.84757505773672 2.52100840336134 1.50753768844221 2.12765957446809 1.50093808630394 2.45901639344262 2.67857142857143 2.54237288135593 6.95187165775401 7.14285714285714 0.87719298245614 1.87793427230047 0.396825396825397 1.75675675675676 0.632911392405063 2.8169014084507 1.29449838187702 0.72992700729927 1.2987012987013 1.96078431372549 1.21212121212121 2.45283018867925 1.81818181818182 10.5263157894737 3.03030303030303 2.8169014084507 5.86080586080586 1.52671755725191 0.869565217391304 0 2.31023102310231 0 1.50375939849624 3.42857142857143 1.9047619047619 2.32558139534884 2.71317829457364 0.952380952380952 0.761421319796954 1.10497237569061 3.10077519379845 2.89855072463768 1.16959064327485 2.9639175257732 3.64963503649635 0.515463917525773 1.44927536231884 0.985221674876847 1.25786163522013 1.24223602484472 2.91970802919708 2.73291925465838 0 0.714285714285714 3.75 2.38095238095238 1.92307692307692 0 1.35869565217391 0.909090909090909 0.862068965517241 1.84453227931489
"na" 1.20879120879121 0 2.7190332326284 2.17391304347826 1.06761565836299 3.80952380952381 0.602409638554217 4.31034482758621 0 3.2520325203252 2.62172284644195 3.08370044052863 3.52422907488987 1.67785234899329 2.68595041322314 0.469483568075117 3.33333333333333 1.84331797235023 1.63934426229508 4.6875 0 2.79850746268657 0.775193798449612 1.60427807486631 1.06382978723404 2.83018867924528 0.420168067226891 1.47058823529412 1.40845070422535 1.02040816326531 1.12781954887218 1.09489051094891 0.980392156862745 3.03030303030303 1.72839506172839 0.73394495412844 1.71428571428571 2.83687943262411 5.21739130434783 2.12071778140294 8.75 1.49253731343284 2.65060240963855 1.42857142857143 2.4024024024024 1.11607142857143 1.38568129330254 2.52100840336134 1.00502512562814 2.12765957446809 1.87617260787993 0.819672131147541 2.23214285714286 2.25988700564972 3.20855614973262 0 2.63157894736842 5.16431924882629 0.793650793650794 0.945945945945946 0.632911392405063 1.69014084507042 2.58899676375405 5.10948905109489 0 1.96078431372549 1.21212121212121 1.69811320754717 0.909090909090909 0 6.06060606060606 2.8169014084507 3.66300366300366 0 0.869565217391304 1.6 3.3003300330033 0 1.50375939849624 1.71428571428571 0.952380952380952 5.11627906976744 3.87596899224806 1.9047619047619 2.28426395939086 1.65745856353591 0.775193798449612 1.44927536231884 1.16959064327485 1.28865979381443 2.18978102189781 2.06185567010309 4.34782608695652 1.47783251231527 5.0314465408805 0.62111801242236 0.72992700729927 1.86335403726708 1.8348623853211 0.714285714285714 3.75 1.78571428571429 0.641025641025641 0.900900900900901 1.90217391304348 4.54545454545455 0 3.03030303030303
"siê" 2.30769230769231 0 1.81268882175227 1.08695652173913 1.42348754448399 0 0.602409638554217 5.17241379310345 3.38164251207729 1.6260162601626 1.87265917602996 0.881057268722467 3.9647577092511 2.01342281879195 1.8595041322314 0.469483568075117 5 2.30414746543779 1.22950819672131 0 0 0.559701492537313 0.387596899224806 1.60427807486631 1.06382978723404 2.35849056603774 1.68067226890756 2.20588235294118 2.8169014084507 1.53061224489796 0.75187969924812 2.18978102189781 2.94117647058824 2.27272727272727 0.987654320987654 2.01834862385321 1.71428571428571 3.54609929078014 1.73913043478261 1.95758564437194 2.5 4.47761194029851 1.44578313253012 1.42857142857143 0.600600600600601 0.669642857142857 2.3094688221709 0.840336134453782 3.01507537688442 1.06382978723404 1.03189493433396 0 1.78571428571429 0.847457627118644 0 4.76190476190476 2.63157894736842 0.938967136150235 1.19047619047619 1.21621621621622 2.53164556962025 1.97183098591549 0.647249190938511 2.18978102189781 2.5974025974026 1.96078431372549 1.21212121212121 5.09433962264151 1.81818181818182 0 6.06060606060606 0 1.0989010989011 0.763358778625954 1.73913043478261 4 1.32013201320132 2.22222222222222 3.7593984962406 0.571428571428571 0 1.86046511627907 2.32558139534884 2.85714285714286 4.56852791878173 2.20994475138122 0.775193798449612 2.89855072463768 0.584795321637427 2.19072164948454 1.45985401459854 3.60824742268041 0 1.47783251231527 1.25786163522013 1.86335403726708 1.45985401459854 2.36024844720497 0.917431192660551 3.57142857142857 1.25 1.19047619047619 1.92307692307692 0.900900900900901 1.26811594202899 0.909090909090909 0 2.10803689064559
"do" 1.0989010989011 3.03030303030303 0.906344410876133 2.17391304347826 3.55871886120996 0.952380952380952 1.80722891566265 0 0.966183574879227 0.813008130081301 0 0.881057268722467 1.76211453744493 1.00671140939597 1.44628099173554 1.40845070422535 0 0.460829493087558 1.22950819672131 1.5625 1.98019801980198 0.186567164179104 1.93798449612403 1.06951871657754 1.06382978723404 2.83018867924528 0.840336134453782 2.20588235294118 2.8169014084507 0.510204081632653 1.50375939849624 0.72992700729927 0.980392156862745 2.27272727272727 1.23456790123457 1.8348623853211 1.71428571428571 2.83687943262411 0 1.14192495921697 0 2.98507462686567 1.68674698795181 1.02040816326531 1.2012012012012 2.45535714285714 0.92378752886836 1.68067226890756 1.50753768844221 1.59574468085106 0 2.45901639344262 2.23214285714286 0 0.53475935828877 2.38095238095238 0.87719298245614 0.938967136150235 0.396825396825397 1.21621621621622 3.16455696202532 1.97183098591549 0.970873786407767 0 0 0.980392156862745 0 0.754716981132076 2.72727272727273 0 0 2.8169014084507 2.1978021978022 2.29007633587786 0 1.6 0.66006600660066 0 0 0.571428571428571 2.85714285714286 0.930232558139535 0.775193798449612 0.952380952380952 1.26903553299492 1.65745856353591 0 0 1.75438596491228 0.902061855670103 0.48661800486618 1.03092783505155 2.17391304347826 0 0 1.24223602484472 0 3.72670807453416 1.8348623853211 0 0 1.19047619047619 1.28205128205128 0.900900900900901 1.26811594202899 2.72727272727273 2.58620689655172 0.658761528326746
"nie" 0.21978021978022 0 1.20845921450151 0 0.355871886120996 0 3.01204819277108 1.72413793103448 1.44927536231884 2.4390243902439 0.374531835205993 2.20264317180617 4.40528634361233 2.3489932885906 0.413223140495868 0 0 1.84331797235023 1.22950819672131 1.5625 0 0.746268656716418 0.775193798449612 0 1.06382978723404 0.943396226415094 0.420168067226891 0 1.40845070422535 0.510204081632653 1.50375939849624 1.09489051094891 0 1.51515151515152 1.48148148148148 1.65137614678899 0.571428571428571 0.709219858156028 0.869565217391304 0.32626427406199 0 0 1.20481927710843 1.83673469387755 0.900900900900901 1.5625 1.84757505773672 0 0.50251256281407 0.531914893617021 1.03189493433396 0.819672131147541 2.23214285714286 0 0 0 3.50877192982456 0.938967136150235 0.396825396825397 1.08108108108108 0 1.12676056338028 0.647249190938511 0.72992700729927 0 0 0.606060606060606 1.88679245283019 0 0 3.03030303030303 2.8169014084507 0.732600732600733 0 0.869565217391304 0.8 2.31023102310231 0 2.25563909774436 2.85714285714286 0 1.3953488372093 0 0.952380952380952 3.2994923857868 0.552486187845304 0.775193798449612 4.34782608695652 0 1.80412371134021 0.48661800486618 3.09278350515464 0.72463768115942 1.97044334975369 0 0.62111801242236 0 1.11801242236025 0 2.85714285714286 1.25 0 0.641025641025641 0 1.53985507246377 0.909090909090909 0.862068965517241 1.05401844532279
"to" 0.659340659340659 1.51515151515152 2.11480362537764 1.08695652173913 0.355871886120996 0 3.01204819277108 1.72413793103448 0.966183574879227 1.6260162601626 0.374531835205993 2.20264317180617 0.440528634361233 2.01342281879195 0.206611570247934 0 0 0.921658986175115 0.819672131147541 1.5625 0 0.932835820895522 1.55038759689922 1.60427807486631 0 0 2.10084033613445 1.47058823529412 1.40845070422535 1.53061224489796 1.8796992481203 1.09489051094891 0.490196078431373 0.757575757575758 1.23456790123457 0.917431192660551 0.571428571428571 0 0.869565217391304 0.815660685154976 1.25 0 0.963855421686747 0.408163265306122 0 0.892857142857143 2.54041570438799 0 3.51758793969849 1.06382978723404 1.59474671669794 4.0983606557377 2.23214285714286 0 0 0 2.63157894736842 0 1.58730158730159 1.62162162162162 0 1.97183098591549 0.647249190938511 0 0 0 0.909090909090909 1.32075471698113 0 5.26315789473684 1.51515151515152 1.40845070422535 1.46520146520147 0.763358778625954 0 1.6 0.33003300330033 0 2.25563909774436 2.28571428571429 0 3.25581395348837 0.387596899224806 0 1.52284263959391 0.552486187845304 0.775193798449612 1.44927536231884 0 1.28865979381443 0.48661800486618 2.06185567010309 0 0.492610837438424 0.628930817610063 0 2.91970802919708 1.61490683229814 0 0 1.25 0.595238095238095 0.641025641025641 0 1.08695652173913 0.909090909090909 0.862068965517241 1.31752305665349
"on" 0.769230769230769 0 2.11480362537764 0 0.711743772241993 0 0 3.44827586206897 1.93236714975845 0 1.87265917602996 1.54185022026432 1.76211453744493 1.34228187919463 1.44628099173554 0 0 0 1.22950819672131 0 0 1.11940298507463 0.387596899224806 0.53475935828877 0 0 0.840336134453782 0 0 1.53061224489796 0.37593984962406 3.64963503649635 0.980392156862745 0 0.493827160493827 3.48623853211009 0 0 0.869565217391304 1.30505709624796 1.25 0 0.72289156626506 0.408163265306122 0.600600600600601 1.33928571428571 0.69284064665127 1.68067226890756 1.50753768844221 1.06382978723404 1.68855534709193 0.819672131147541 0.446428571428571 1.41242937853107 0 4.76190476190476 1.75438596491228 0 2.77777777777778 1.08108108108108 1.26582278481013 0.845070422535211 0.970873786407767 2.18978102189781 0 1.96078431372549 0.303030303030303 1.50943396226415 0 0 0 0 1.46520146520147 0 0.869565217391304 0.8 0.99009900990099 0 2.25563909774436 1.42857142857143 0 0 2.71317829457364 0 2.03045685279188 1.65745856353591 0 2.89855072463768 0.584795321637427 0.77319587628866 0 1.03092783505155 0 0 0.628930817610063 0.62111801242236 1.45985401459854 1.98757763975155 0 4.28571428571429 0 0.595238095238095 0.641025641025641 0 0.634057971014493 0.909090909090909 3.44827586206897 0.658761528326746
